artists,Track_Count,Avg_Pop,Max_Pop,Avg_Energy,Avg_Dance
Norma Jean,2,23.5,24,0.83,0.19
Meet Bros.;Roach Killa;Khushboo Grewal;Arijit Singh,2,58.5,61,0.54,0.65
OAFF;Savera;Lothika;Kausar Munir,2,68.5,73,0.67,0.75
Mauro Henrique,2,41.0,43,0.62,0.56
Octave One;Random Noise Generation,2,9.5,11,0.7,0.72
Mazapán,2,39.0,39,0.35,0.64
Odina,2,40.5,42,0.3,0.32
Odium,2,51.0,56,0.95,0.45
Maylene And The Sons Of Disaster,2,26.5,27,0.97,0.49
Odraza,2,17.5,18,0.92,0.38
Old Sea Brigade,2,62.5,64,0.29,0.47
Maxtreme,2,23.5,24,0.87,0.49
Maxida Märak,2,40.0,40,0.67,0.69
Ole-Bjørn Talstad,2,54.5,58,0.03,0.42
Oli XL,2,27.5,39,0.33,0.32
Oliver Cheatham,2,31.5,63,0.61,0.86
Oliver Frank,2,29.5,30,0.93,0.63
Max Romeo;The Upsetters,2,30.0,60,0.62,0.82
Oliver Smith,2,46.0,50,0.88,0.56
Oliver Wallace;Frank Churchill,2,22.0,23,0.48,0.4
Oliver Wallace;Peggy Lee,2,21.0,23,0.31,0.5
Max Fane,2,27.0,54,0.69,0.71
Oliverse,2,51.5,53,0.98,0.49
Olivia Foa'i,2,29.5,35,0.4,0.27
Olivia Lobato;Björn Holmgren,2,1.0,2,0.77,0.71
Max Boyce,2,21.5,22,0.37,0.47
Olivia O'Brien,2,73.0,75,0.39,0.53
Mauvais Roger,2,51.0,54,0.11,0.29
Maze;Frankie Beverly,2,35.0,36,0.67,0.61
Mc Don Juan,2,46.0,50,0.52,0.67
ODESZA;Bettye LaVette,2,68.5,72,0.92,0.67
Octave One;Ann Saunderson,2,21.0,37,0.68,0.79
ODESZA;Zyra,2,58.5,65,0.81,0.67
Medulla,2,34.0,34,0.61,0.65
Medooza;PAWLIE POIZN,2,32.5,33,0.68,0.65
Meditation Spa;Spa;Deep Sleep Relaxation;White Noise Nature Sounds Baby Sleep;Mute Button;Spa Relaxation & Spa,2,33.5,34,0.0,0.0
OG Keemo,2,38.0,38,0.59,0.59
OHAYO;Shake Pepper;Yvngboi P,2,53.0,57,0.47,0.84
Meditación: Por Mateo;Meditaciónessa,2,21.0,21,0.05,0.21
OJKB,2,22.0,22,0.87,0.51
ONYVAA;Mattia Trani;Dj Exos,2,6.5,8,0.95,0.55
OOMPH!,2,52.5,54,0.96,0.66
Mecano,2,70.5,72,0.38,0.48
OUTROEU,2,41.5,44,0.62,0.66
Oba Reengy,2,18.5,19,0.51,0.61
Mc Vzs;DJ Vilão,2,46.5,49,0.52,0.79
Obie Trice,2,59.5,61,0.79,0.85
Mc Th,2,43.0,43,0.55,0.86
Mc PP da VS,2,45.0,48,0.42,0.72
Mc Lipi,2,45.5,47,0.76,0.68
Mc Kevin;Mc IG,2,44.0,46,0.7,0.67
Obscurity,2,20.0,20,1.0,0.36
Mc Kelvinho,2,42.5,43,0.54,0.66
Ocean Sounds;Calm Sea Sounds,2,34.5,35,0.9,0.2
Mc Kadu;Dj Victor,2,43.0,44,0.4,0.88
Raphael Lake;Royal Baggs,2,45.5,48,0.49,0.41
Raquel Mello,2,38.5,39,0.65,0.58
Swedish House Mafia;Knife Party,2,26.5,53,0.86,0.65
Sigh,2,17.5,18,0.85,0.22
Kballero Rap,2,33.5,34,0.88,0.63
Kazuyoshi Saito,2,26.5,27,0.8,0.6
Kazuya Yoshii,2,48.5,54,0.96,0.41
Kazutaka Ishii,2,34.5,36,0.22,0.43
Sidhu Moose Wala;Sonam Bajwa,2,60.0,63,0.82,0.8
Sidiki Diabaté,2,0.0,0,0.7,0.79
Kayahan,2,39.0,39,0.65,0.74
KayBlack,2,45.5,47,0.57,0.83
Sielunvihollinen,2,19.5,21,1.0,0.34
Sierra Hull,2,21.5,24,0.33,0.53
Siesta Beats,2,36.5,41,0.34,0.71
Kaunis Kuolematon,2,21.5,22,0.83,0.31
Rashid Beibutov;Traditional,2,6.0,7,0.24,0.52
Kaua Correia,2,62.5,64,0.0,0.08
Sigma;Labrinth,2,32.5,46,0.86,0.39
Sigma;Louis III,2,26.0,52,0.87,0.72
Sigma;Louisa Johnson,2,46.5,49,0.84,0.53
Sigma;Paloma Faith,2,41.0,62,0.82,0.48
Katsbarnea,2,38.5,39,0.8,0.46
Sikdope,2,46.5,50,0.95,0.81
Kathy Cristina,2,32.0,33,0.77,0.7
Kathryn Toyama,2,19.5,20,0.18,0.42
Kathryn Scott,2,49.5,52,0.39,0.27
Katherine Jenkins,2,28.5,39,0.24,0.25
Keala Settle;The Greatest Showman Ensemble,2,70.0,74,0.7,0.28
Sidhu Moose Wala;Afsana Khan,2,60.5,62,0.74,0.72
Sickflip;Ritviz;Seedhe Maut,2,39.5,45,0.58,0.57
Kedam,2,56.5,60,0.61,0.82
ShitKid,2,23.5,26,0.92,0.52
Shiv-R,2,20.5,21,0.88,0.56
Ken Davis,2,21.0,21,0.41,0.31
Shizuka Kudo,2,32.5,34,0.43,0.6
Kempo,2,28.0,34,0.58,0.6
ShockOne,2,29.5,41,0.97,0.47
Kelvin Kwan,2,10.5,21,0.39,0.6
Kelsea Ballerini,2,54.5,66,0.62,0.49
Shola Ama,2,13.0,26,0.68,0.73
Showtek;We Are Loud;Sonny Wilson,2,52.0,54,0.93,0.66
"Kelli O'Hara;Steven Pasquale;Company of The Original Broadway Cast Of ""Bridges Of Madison County""",2,21.5,22,0.3,0.31
Shpongle,2,43.0,44,0.7,0.51
Shredder 1984,2,30.0,44,0.83,0.49
Kellen Byanca,2,46.5,52,0.56,0.7
Keith Sweat,2,0.5,1,0.43,0.72
Shubham Kabra,2,40.0,41,0.38,0.47
Keisha White,2,26.5,27,0.5,0.72
Keiko Ishida,2,56.5,63,0.04,0.35
Keeva Mak,2,24.5,49,0.58,0.6
ShuuKaRen,2,23.0,24,0.82,0.52
Sia;Sean Paul,2,70.0,71,0.8,0.59
Siavash Amini;Saåad,2,7.0,8,0.27,0.14
Sick Individuals,2,52.0,53,0.92,0.57
Silbermond,2,19.5,39,0.58,0.66
Kate Baldwin,2,26.0,28,0.16,0.4
Silent Circle,2,54.0,55,0.77,0.73
Sissel;Odd Nordstoga,2,21.0,22,0.39,0.4
Kampfar,2,17.5,20,1.0,0.31
Sisyfuss,2,51.5,55,0.78,0.56
Sita Chan,2,51.5,53,0.45,0.47
Kamelot,2,24.5,25,0.98,0.38
Sixx:A.M.,2,54.5,62,0.67,0.43
Kamal Haasan;S. Janaki,2,50.0,51,0.33,0.73
Skank;Michael Fossenkemper,2,43.0,45,0.78,0.77
Kalben,2,39.5,40,0.52,0.61
Skaparapid,2,28.5,30,0.82,0.49
Skeets McDonald,2,14.5,16,0.62,0.66
Skegss,2,28.5,29,0.9,0.42
Kaiserdisco,2,50.0,51,0.88,0.63
Skinny Atlas;Laeland;Snøw,2,51.5,54,0.49,0.7
Moses Kahumoku,2,24.0,24,0.37,0.38
Kailash Kher;Prasoon Joshi,2,41.0,42,0.59,0.62
Kailash Kher;Meet Bros Anjjan,2,48.0,49,0.52,0.59
Skunk Anansie,2,27.5,28,0.81,0.5
Skyforger,2,17.0,18,0.99,0.32
Kai Wachi,2,47.5,50,0.95,0.49
Skylar Grey;Polo G;Mozzy;Eminem,2,63.5,73,0.7,0.62
Skypeace,2,39.5,42,0.68,0.74
Slam,2,19.0,20,0.9,0.6
Kado;Promoting Sounds,2,46.5,47,0.42,0.67
Kane Brown,2,71.5,73,0.71,0.63
Kanine;A Little Sound,2,33.5,50,0.87,0.48
Katarzyna Łaska,2,26.0,28,0.21,0.49
Sins Of Insanity,2,23.0,25,0.91,0.48
Kataklysm,2,49.0,49,0.97,0.38
Kasalla,2,41.0,42,0.85,0.49
Silk Mhake,2,22.5,39,0.5,0.67
Silk Route,2,49.5,56,0.5,0.68
Karunya,2,55.5,58,0.75,0.83
Silly Kidz,2,7.0,7,0.94,0.83
Silva Sax,2,46.5,49,0.22,0.76
Silvia Infantas Y Los Condores,2,42.5,43,0.58,0.7
Simina Grigoriu,2,18.5,19,0.68,0.83
Karthik Rao;Shilpa Surroch,2,41.0,47,0.36,0.66
Karthik Rao,2,44.5,56,0.37,0.68
Simon Casey,2,47.0,48,0.25,0.34
Kari Jobe;Cody Carnes,2,55.0,60,0.51,0.4
Simon Webbe,2,51.5,58,0.84,0.57
Simon Wester;Rasmus H Thomsen,2,40.5,45,0.04,0.48
Karan Aujla;Gurlez Akhtar,2,59.0,59,0.69,0.79
Karamelo Santo,2,36.5,37,0.9,0.66
Simple Plan;Sean Paul,2,58.5,61,0.82,0.42
Single,2,28.5,30,0.33,0.65
Sinoda,2,61.0,65,0.49,0.85
Kansas,2,77.0,78,0.55,0.48
Kano,2,39.0,49,0.6,0.75
Kanishk Seth;Kavita Seth,2,69.5,75,0.76,0.52
Kendrick Lamar,2,83.5,84,0.65,0.85
Shimon;Andy C,2,19.5,24,0.88,0.68
Kenichi Ebe,2,25.0,27,0.05,0.52
Seizo,2,40.5,55,0.76,0.69
Selena Gomez & The Scene,2,79.0,81,0.8,0.77
Selena Gomez;Gucci Mane,2,36.0,72,0.62,0.71
Semisonic,2,0.0,0,0.85,0.48
Sensey,2,38.0,38,0.71,0.64
Sensey;Vercetti CG,2,38.0,39,0.49,0.69
Seon,2,60.0,68,0.43,0.78
Killval,2,52.5,54,0.56,0.76
Sephyx;Syren,2,20.5,21,0.76,0.5
Serani,2,48.5,64,0.83,0.68
Serena Rossi,2,26.5,28,0.27,0.48
Serge Legran,2,40.0,42,0.76,0.79
Kilink,2,36.5,37,0.54,0.49
Sergei Rachmaninoff;Marko Stuparevic,2,0.0,0,0.08,0.36
Sergei Rachmaninoff;Talistrio,2,0.0,0,0.06,0.19
Serhat Durmus;Georgia Ku,2,55.5,61,0.54,0.61
Serhat Durmus;NOES,2,41.5,45,0.53,0.56
Kiiara,2,0.0,0,0.41,0.6
Sertab Erener;Can Bonomo,2,41.5,45,0.13,0.66
Serum;Inja,2,36.5,56,0.86,0.83
Seu Pereira e Coletivo 401,2,41.5,43,0.66,0.72
Kids Dance Party,2,26.0,42,0.58,0.86
Kidnap;Leo Stannard;Ben Böhmer;Nils Hoffmann,2,56.5,62,0.52,0.7
Kidnap;Leo Stannard,2,49.0,50,0.53,0.63
Kimberley Chen,2,47.5,58,0.42,0.53
Seinabo Sey;Hannes,2,0.0,0,0.58,0.58
Seven Lions;Dia Frampton,2,0.0,0,0.51,0.44
Seiko Matsuda;Chris Hart,2,20.5,21,0.6,0.52
Scracho,2,45.5,47,0.67,0.74
Kip Moore,2,0.0,0,0.57,0.5
Sean Finn,2,22.0,44,0.8,0.85
Sean Harkness,2,21.5,23,0.2,0.6
Sean Paul;David Guetta;Becky G,2,60.5,65,0.82,0.79
Sean Paul;Pia Mia,2,50.5,54,0.82,0.62
Kings of Günter,2,29.5,30,0.93,0.7
King Stephen,2,17.5,20,0.99,0.38
King Diamond,2,24.0,26,0.83,0.34
Sean Paul;Tove Lo,2,49.0,54,0.89,0.62
Sebastian Yatra;Daddy Yankee;Natti Natasha;Jonas Brothers,2,58.0,62,0.85,0.75
Sebastian Yatra;Ñejo;Dalmata,2,0.5,1,0.73,0.78
Sebastien;Hagedorn,2,34.0,42,0.55,0.8
Kina;Snøw,2,64.5,80,0.24,0.5
Kina;Sarcastic Sounds,2,34.0,46,0.35,0.62
Secos & Molhados,2,21.0,42,0.59,0.52
Section 1;Rave Channel,2,21.0,22,0.83,0.39
Seedhe Maut;MC STAN,2,53.0,56,0.66,0.81
Kina;Galvanic;Silent Child,2,35.5,48,0.53,0.52
Kina;Emilia Ali,2,33.5,44,0.29,0.54
Kina;Boyfifty,2,32.5,44,0.3,0.66
Seguridad Social,2,59.0,61,0.85,0.64
Kina Grannis;Imaginary Future,2,53.0,55,0.08,0.57
Seven Lions,2,0.0,0,0.64,0.44
Seven Lions;GG Magree,2,0.0,0,0.78,0.48
Kenji Wu,2,39.5,56,0.61,0.48
Shakira,2,72.5,75,0.72,0.75
Keung To,2,70.5,72,0.32,0.48
Shamanes Crew;La Combo Tortuga,2,33.5,40,0.81,0.75
Ketama126,2,36.0,37,0.67,0.75
Kerstin Ibald,2,22.5,23,0.32,0.34
Shankar-Ehsaan-Loy;Sonu Nigam;Alka Yagnik,2,59.5,61,0.43,0.44
Kep1er,2,73.5,74,0.92,0.77
Keola Beamer;Kapono Beamer,2,25.0,28,0.28,0.52
Shanti People,2,28.5,30,0.97,0.66
Sharapov,2,0.5,1,0.87,0.78
Keola & Kapono Beamer,2,21.5,22,0.23,0.54
Sharapov;Patrick Hofmann,2,0.0,0,0.8,0.8
Kenyaman,2,23.5,28,0.46,0.5
Sharon Van Etten,2,59.5,60,0.65,0.6
Shatta Wale,2,24.5,47,0.59,0.72
Shawn Yue,2,9.0,18,0.51,0.55
Sheba Potts-Wright,2,36.5,39,0.52,0.76
Sheezay,2,29.0,29,0.69,0.42
Shi Shi,2,37.5,48,0.6,0.35
Shift K3Y,2,60.0,66,0.82,0.67
Kenny Baker,2,25.0,25,0.53,0.58
Shiga Lin,2,52.0,54,0.35,0.48
Shiki-TMNS;Kodama Boy;Big Gay,2,55.0,61,0.55,0.69
Kenma,2,46.5,49,0.21,0.7
KevGee,2,51.5,55,0.26,0.71
Kevin Ceballo,2,31.5,35,0.78,0.39
Kid Rock,2,36.5,73,0.86,0.7
Kevin Chamberlin,2,30.5,33,0.37,0.54
Seven Lions;JT Roach,2,0.0,0,0.84,0.58
Kid Francescoli;Julia Minkin,2,60.5,66,0.53,0.68
Kick Puncher,2,28.0,41,0.57,0.43
Seven Lions;So Below,2,28.0,56,0.87,0.35
Seven Lions;Vancouver Sleep Clinic,2,28.0,56,0.7,0.32
Sevyn Streeter,2,52.0,66,0.69,0.57
Kiara Vitória,2,45.5,46,0.58,0.5
Kiara Leonard,2,60.0,61,0.12,0.48
Sex Pistols,2,62.5,63,0.92,0.33
Khantrast;Musicality,2,45.0,46,0.76,0.73
Shaarib Toshi;Arijit Singh,2,66.0,71,0.59,0.5
Shackled,2,29.0,30,0.97,0.39
Khaled,2,65.5,69,0.69,0.85
Kezzo,2,40.0,41,0.68,0.79
Shadowfax,2,23.0,23,0.15,0.29
Shadya Lan,2,48.0,54,0.64,0.57
Kevin de Vries,2,53.0,63,0.69,0.75
Kevin Saunderson;Jay Lumen,2,10.5,12,0.95,0.81
Shaggy,2,35.5,70,0.71,0.86
Kevin Roldan;Wisin,2,0.5,1,0.79,0.71
Shaggy;Ricardo Ducent,2,1.0,2,0.62,0.85
Shaka,2,37.5,38,0.57,0.72
Shaka Ponk,2,34.0,37,0.76,0.55
Kacey Musgraves;Zooey Deschanel,2,0.0,0,0.5,0.78
Kacey Musgraves;Troye Sivan,2,0.0,0,0.28,0.6
Sleep Baby Sleep,2,36.0,40,0.17,0.33
Joy Williams,2,62.0,64,0.21,0.48
Jovonn;Ian Pooley,2,22.0,36,0.69,0.78
Sterling Void;DJ Spen;Reelsoul,2,5.0,5,0.71,0.77
Jovonn;Casio Ware,2,8.0,8,0.66,0.81
Sterling Void;Mark Knight,2,5.0,5,0.96,0.66
Steve Aoki;BTS,2,61.0,63,0.68,0.67
Steve Chou,2,49.5,55,0.5,0.6
Journey;Steve Perry,2,65.0,72,0.67,0.43
Steve Earle,2,0.0,0,0.75,0.39
Jota Quest;Marcelo Falcão,2,45.0,50,0.8,0.57
Steve Ivey,2,12.5,13,0.61,0.61
Steve Martin;Edie Brickell,2,22.5,23,0.32,0.55
Steve Poindexter,2,12.5,15,0.71,0.78
Steve Winwood,2,0.0,0,0.77,0.68
Stiv Bators,2,21.0,22,0.96,0.42
Stonebwoy,2,27.5,55,0.72,0.57
Joshwa;Lee Foss,2,33.5,67,0.79,0.86
Stoney LaRue,2,41.0,41,0.7,0.56
Story Of The Year,2,61.0,66,0.91,0.57
Josh Williams;Don Rigsby;Kristin Scott Benson}Ron Stewart;Missy Raines;Randy Kohrs,2,22.5,23,0.72,0.66
Josh Wagner,2,22.0,23,0.62,0.54
StoryBots,2,0.0,0,0.74,0.74
Stratotune,2,34.5,45,0.24,0.66
Strawberry Guy,2,74.5,77,0.57,0.35
Stereoact;Mickie Krause,2,14.0,28,0.86,0.76
Stephy Tang,2,33.0,46,0.5,0.58
Street Academics;V3K,2,41.0,46,0.6,0.64
Jozyanne,2,47.0,50,0.63,0.49
Stapes,2,42.0,42,0.26,0.59
Jubin Nautiyal;Neeti Mohan,2,50.0,51,0.45,0.48
Star Darlings,2,36.0,38,0.66,0.6
Star Feminine Band,2,21.0,21,0.79,0.62
State of Mind,2,18.0,19,0.94,0.53
Juan Magán;Maffio,2,0.0,0,0.82,0.65
Stebin Ben,2,68.0,70,0.49,0.6
Juan Falú,2,23.0,25,0.36,0.59
Stefan Andersson,2,36.0,37,0.33,0.61
Stefan Stürmer,2,28.0,29,0.97,0.68
Juan D'Arienzo and his Orchestra,2,19.0,20,0.38,0.82
Stepfather Fred,2,25.0,32,0.82,0.63
Stephan Bodzin;Ben Böhmer,2,36.5,38,0.68,0.57
João de Souza & Bonifacio,2,49.0,52,0.85,0.68
João Penca E Seus Miquinhos Amestrados,2,44.5,45,0.9,0.66
Stephan Bodzin;Innellea,2,37.0,41,0.77,0.69
Stephanie J. Block;Teal Wicks;Micaela Diamond,2,23.5,24,0.66,0.37
Stephanie J. Block;The Cher Show Ensemble,2,24.0,25,0.76,0.65
Stephanie Middleton,2,54.5,60,0.05,0.35
Stephanie Mills,2,15.5,30,0.53,0.76
Stephen Barton,2,40.0,42,0.65,0.46
Stephen Sanchez;Em Beihold,2,41.0,80,0.55,0.55
Stephen Zechariah,2,59.5,61,0.55,0.54
Stream of Passion,2,21.5,22,0.66,0.47
Stromae,2,76.0,78,0.7,0.76
Jubin Nautiyal;Raaj Aashoo,2,45.5,48,0.78,0.62
Jorge Acosta,2,43.0,44,0.71,0.69
Sujatha;Madhu Balakrishnan,2,28.5,33,0.58,0.58
Jordan Davis;Luke Bryan,2,40.0,80,0.56,0.59
Jordan Davis,2,37.5,75,0.75,0.6
Sujatha;Srinivas,2,35.5,40,0.63,0.71
Jonathan Lee,2,46.5,47,0.56,0.55
Jonathan Johansson,2,35.0,36,0.56,0.62
Sujatha;Unnikrishnan,2,29.5,39,0.64,0.82
Jonathan Davis,2,37.5,52,0.69,0.61
Sullivan King,2,49.5,57,0.86,0.34
Sunflower Bean,2,47.5,53,0.63,0.69
Jonas Blue;RAYE,2,32.0,64,0.74,0.69
Sunken,2,18.0,18,0.56,0.29
Super Simple Songs;Noodle & Pals,2,61.0,62,0.24,0.95
Jon Reep,2,20.0,21,0.86,0.53
Supper Moment,2,44.0,46,0.68,0.48
Suprême NTM,2,8.0,8,0.73,0.74
Surfaces;Tai Verdes,2,66.0,68,0.83,0.74
Sven-Ingvars,2,39.0,40,0.52,0.56
Swan Meat,2,30.5,47,0.99,0.58
Jolly Jordan,2,40.5,43,0.41,0.64
Swarathma,2,33.5,34,0.3,0.59
Joker,2,42.0,46,0.65,0.68
Swattrex;Swattrex One,2,43.5,44,0.4,0.62
Sujatha;Hariharan,2,27.0,28,0.64,0.62
Sugar Sammy,2,23.5,25,0.81,0.47
Josh & Wesz,2,22.5,23,0.93,0.61
Suffokate,2,21.5,22,0.93,0.5
Josephine Forrester,2,50.0,51,0.15,0.6
Joseph Williams;Sally Dworsky;Nathan Lane;Ernie Sabella;Kristle Edwards,2,59.0,62,0.16,0.33
Joseph Huber,2,24.5,27,0.73,0.62
Joseph Haydn;Sigiswald Kuijken;Helmut Wildhaber;Krisztina Laki;Peter Lika;La Petite Bande;The Choir Of The Flanders Opera,2,0.0,0,0.06,0.37
Joseph Haydn;Arioso Quartett Wien,2,0.0,0,0.18,0.32
Study Music & Sounds;Study Alpha Waves;Binaural Beats Study Music,2,45.0,46,0.01,0.16
Stupeflip;Hélène,2,35.0,38,0.74,0.67
Styles & Breeze,2,48.5,50,0.98,0.51
Joris Voorn;Yotto,2,16.0,22,0.83,0.69
Joris Voorn;Underworld,2,27.5,46,0.73,0.66
Sub Focus;Dimension,2,63.5,64,0.94,0.51
Sub Sonik,2,22.5,23,0.99,0.43
Jorge Vidal,2,18.5,19,0.36,0.63
Jorge Vercillo;Djavan,2,44.5,45,0.59,0.54
Sub Urban;BENEE,2,1.0,2,0.58,0.76
Sub Urban;Bella Poarch,2,69.5,70,0.61,0.82
Sub Zero Project;Rebelion,2,53.0,54,0.81,0.33
Jorge Valdez,2,18.0,20,0.43,0.49
Jorge Muñiz;Marco Antonio Muñiz,2,37.0,41,0.41,0.59
Subtact,2,41.0,45,0.67,0.4
Jorge Muñiz;Ana Cirré,2,34.0,35,0.53,0.53
Sued Silva,2,47.0,48,0.56,0.48
Suffocation,2,10.0,20,0.91,0.3
Jubin Nautiyal;Prakriti Kakar,2,58.5,62,0.46,0.47
Jubin Nautiyal;Rashmi Virag;Meet Bros.,2,47.5,50,0.85,0.6
Sleepless Eye,2,63.5,65,0.03,0.16
KAROL G;J Balvin;Nicky Jam,2,0.0,0,0.78,0.82
Snowy White,2,57.5,60,0.31,0.51
KANKAKU PIERO,2,57.5,63,0.98,0.39
Snowy White;The White Flames,2,48.5,49,0.34,0.46
Snøw,2,34.5,63,0.41,0.57
KAI,2,68.0,71,0.75,0.65
KAAZE;Nino Lucarelli,2,57.0,60,0.77,0.47
Sofa Surfers,2,50.0,51,0.46,0.7
K. S. Harisankar;Shweta Mohan,2,22.0,23,0.48,0.48
K. S. Harisankar;Shankar Sharma,2,20.5,22,0.23,0.56
K. S. Harisankar;Arun Muraleedharan,2,36.0,52,0.51,0.5
Sofa Surfers;Mani Obeya,2,47.0,48,0.62,0.65
K. B. Sundarambal,2,29.0,29,0.45,0.47
Soheil Soheili;Roj,2,0.0,0,0.31,0.34
K'NAAN,2,63.0,67,0.73,0.6
Jürgen Paape,2,47.5,49,0.62,0.65
Sohn Aelia,2,67.5,74,0.02,0.13
Sohodolls,2,64.0,64,0.57,0.72
Sokrat St,2,42.0,44,0.68,0.65
Jörg & Dragan (Die Autohändler),2,24.5,25,0.93,0.73
Solar Fields,2,46.0,48,0.36,0.49
Soledad Villamil,2,23.0,28,0.47,0.7
Solex,2,20.0,20,0.91,0.58
Juveniles,2,25.5,26,0.74,0.57
Snowstorm,2,36.0,36,0.76,0.56
KAROL G;Maluma,2,0.0,0,0.87,0.71
Soli Deo Gloria,2,27.0,27,0.2,0.16
Snoop Dogg;DJ Drama,2,6.0,7,0.6,0.78
Sleepy Hallow,2,77.0,81,0.52,0.8
Kaan Tangöze,2,40.0,42,0.24,0.46
Sleepy Hallow;Fousheé,2,65.5,67,0.48,0.87
KSU,2,30.5,31,0.81,0.6
KSHMR;Zafrir,2,47.5,51,0.93,0.48
KSHMR;Tungevaag,2,52.5,58,0.81,0.51
KSHMR;Mike Waters,2,52.0,59,0.88,0.61
Sleepy Times;Sample Rain Library;Nature Recordings,2,34.0,35,0.7,0.17
KRS-One,2,50.5,64,0.88,0.8
Sless Praismo;Mosalla,2,43.5,45,0.29,0.61
Slime,2,37.5,38,0.91,0.56
Sllash & Doppe,2,0.0,0,0.9,0.81
Slow Meadow,2,54.5,57,0.14,0.21
KIRINJI,2,0.0,0,0.56,0.63
Slushii;Aviella,2,52.5,56,0.95,0.78
KING SAPO,2,33.0,35,0.72,0.37
KILJ,2,57.0,59,0.62,0.68
Sly & The Family Stone,2,67.0,67,0.49,0.82
Smash Stereo,2,41.5,44,0.96,0.58
Snavs,2,52.0,57,0.89,0.58
Sneaker Pimps,2,41.5,55,0.67,0.6
KAS:ST,2,48.5,49,0.84,0.58
Snoop Dogg,2,58.5,72,0.73,0.79
Justo Betancourt,2,27.5,28,0.55,0.55
Solteirões do Forró,2,38.5,39,0.79,0.58
Stanton Warriors;Ruby Goe,2,14.0,15,0.81,0.68
Julien Granel,2,32.0,33,0.58,0.75
"Spa;Spa, Relaxation and Dreams;Relax Meditate Sleep;Loopable;Lullaby Land",2,37.0,39,0.0,0.0
Julien Bam,2,41.5,42,0.86,0.72
Julie Andrews;Nicholas Hammond;Debbie Turner;Duane Chase;Heather Menzies;Angela Cartwright;Kym Karath;Charmian Carr,2,51.0,55,0.22,0.51
Julie Andrews;Dick Van Dyke;The Pearlie Chorus,2,46.5,49,0.61,0.52
Specktakel,2,18.0,36,0.88,0.77
Speedometer,2,19.5,22,0.64,0.73
Spektre,2,21.5,43,0.92,0.65
Spencer Crandall,2,58.0,61,0.76,0.57
Juliano Cezar,2,44.5,46,0.8,0.6
Spice;Vybz Kartel,2,34.5,50,0.84,0.52
Spidergawd,2,25.5,26,0.87,0.31
Julian Jeweil,2,34.0,41,0.95,0.63
Julia Peng,2,38.5,44,0.41,0.62
Julia Michaels;Niall Horan,2,41.0,82,0.47,0.52
Spongebob Squarepants,2,38.5,47,0.72,0.74
Spotlight Musicals;Sabrina Weckerlin;Dennis Martin,2,24.5,28,0.31,0.36
Juicy M;Willy Van Florence;Amyss,2,31.0,62,0.94,0.73
Juice Newton,2,50.0,59,0.57,0.55
Juhani Ahonen,2,61.5,64,0.03,0.2
Juggernaut,2,17.5,19,0.92,0.41
Squash Bowels,2,13.5,15,0.99,0.44
Stan Getz;João Gilberto;Astrud Gilberto;Antônio Carlos Jobim,2,42.0,45,0.19,0.61
Jubin Nautiyal;Rocky - Shiv,2,59.5,72,0.54,0.56
"Spa;Sounds Of Nature : Thunderstorm, Rain;White Noise Meditation",2,33.0,34,0.92,0.13
Juliette Armanet,2,32.0,32,0.69,0.7
Son Tentación,2,30.0,30,0.8,0.66
Sound Quelle,2,52.5,53,0.83,0.64
Son&Dad;Filip Nordin,2,38.0,51,0.33,0.64
Justin Moore,2,1.5,2,0.69,0.56
Justin Lo,2,43.0,52,0.46,0.56
Justin Bieber;Ludacris,2,41.0,82,0.84,0.71
Justin Bieber;Boyz II Men,2,0.5,1,0.68,0.66
Sonny Boy Williamson II,2,45.0,60,0.6,0.72
Sonny Fodera;Biscits,2,51.0,55,0.9,0.72
Jurassic Shark,2,26.5,27,0.89,0.26
Sonora Skandalera,2,35.5,37,0.92,0.49
Soolking,2,70.5,74,0.69,0.86
Junior Jingles,2,17.5,23,0.17,0.64
Junior Brielle,2,35.5,37,0.81,0.49
Soothe My Soul,2,58.0,58,0.01,0.1
Jungle Wonz,2,7.5,8,0.6,0.75
Sopico,2,33.0,34,0.48,0.66
Jumpin'up,2,24.5,26,0.59,0.6
Soraya Moraes,2,43.0,47,0.63,0.33
Sorriso Maroto;Belo,2,50.5,51,0.63,0.58
Soul Asylum,2,64.0,72,0.72,0.61
Sound Ideas,2,33.0,34,0.54,0.17
Sound Library XL,2,31.0,31,0.46,0.15
Julio Martel;Alfredo De Angelis,2,19.5,21,0.32,0.63
Julio Cesar,2,24.5,25,0.46,0.55
Scott Brown;Plus System,2,17.5,19,0.9,0.39
Scorz,2,51.0,52,0.85,0.5
Scooter;VASSY,2,18.5,19,0.87,0.58
Robin Schulz;Erika Sirola,2,59.0,62,0.7,0.57
Robin Schulz;Ilsey,2,58.5,60,0.68,0.6
Robson Nascimento,2,26.5,28,0.53,0.7
Leslie Odom Jr.;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,2,60.5,61,0.36,0.69
Robyn,2,53.5,64,0.78,0.69
Lesiem,2,24.0,28,0.52,0.39
Les Sales Majestés,2,32.5,35,0.93,0.38
Rock Of Ages Cast;Amy Spanger;Constantine Maroulis,2,25.0,26,0.55,0.39
Les Discrets,2,39.0,39,0.64,0.47
Les Caméléons,2,33.0,33,0.89,0.59
Rockin' Ryan & The Real Goners,2,24.0,24,0.99,0.47
Rod Stewart;CeeLo Green;Trombone Shorty,2,0.0,0,0.68,0.46
